SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
546ca60f3bcbe,Famous Footwear,25.49,1.63,Famous Footwear,Flex_Offers,4/2/2015 5:02,440098194
5481ffd14ee4b,"Save Up to 39% on Jason Natural Personal Care. Safe and Gentle, Effective, Gluten-Free Options!",30.99,1.49,Vitacost.com,Flex_Offers,4/15/2015 5:00,440181534
5481ffd14ee4b,"Save Up to 39% on Jason Natural Personal Care. Safe and Gentle, Effective, Gluten-Free Options!",-3.72,-0.18,Vitacost.com,Flex_Offers,4/15/2015 5:00,440181535
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,112.99,3.62,Quill,Flex_Offers,4/23/2015 5:00,440248693
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,83.79,3,Quill,Flex_Offers,4/23/2015 5:00,440248694
529e2bf495a06,(10.9-10.31) Save on Halloween Flowers and Gifts from FTD,71,7.95,FTD.com,Flex_Offers,4/27/2015 5:00,440282413
52ab7c63df69a,Budget.com,146.56,4.69,Budget Rent a Car,Flex_Offers,5/5/2015 13:40,440345601
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,91.72,2.44,Quill,Flex_Offers,5/7/2015 5:00,440353165
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,80.47,1.93,Quill,Flex_Offers,5/8/2015 5:00,440359927
5481ffd14ee4b,ULTA Beauty,60,2.4,ULTA Beauty,Flex_Offers,5/20/2015 5:00,440451566
52ab7c63df69a,Budget.com,34.19,1.1,Budget Rent a Car,Flex_Offers,6/3/2015 5:00,440548857
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,340.18,11.63,Quill,Flex_Offers,6/7/2015 5:00,440574303
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,31.98,1.02,Quill,Flex_Offers,6/7/2015 5:00,440574304
5277cb3c71beb,F-2,154,3.08,Hotwire US,Link_share,5/4/2015,2083254020
529e2bf495a06,263029_2,48,5.28,NORDSTROM.com,Link_share,4/30/2015,2.01504E+23
529e2bf495a06,4787,63.99,12.8,Flower.com Flowers,Link_share,4/14/2015,7929374
529e2bf495a06,4787,63.99,12.8,Flower.com Flowers,Link_share,4/14/2015,7929380
529e2bf495a06,H24-CF213A,75,0.75,TigerDirect,Link_share,5/12/2015,R23916000102
529e2bf495a06,H24-CF212A,75,0.75,TigerDirect,Link_share,5/12/2015,R23916000103
529e2bf495a06,H24-CF211A,74.99,0.75,TigerDirect,Link_share,5/12/2015,R23916000104
5481ffd14ee4b,4608,27,1.35,Birchbox,Link_share,5/26/2015,110248553
552aea55dacc4,R_109699170,254.75,17.83,Farfetch.com (US),Link_share,4/15/2015,9X1J
5283d9bf0caa4,372360234,38,2.28,Groupon,Commission_Junction,6/3/2015 10:30,1864016324
536ffa6ada076,39829430,$109.99 ,$6.60 ,Soccer.com,Pepper_Jam,4/26/2015 10:56,45276360
